Driver Name,Stop Number,Visit Name,Address,Street,City,State,Zip code,Latitude,Longitude,Arrive at,Start at,Finish by,Distance(km)
Day 1,0,,"261 Queen St, Brisbane City QLD 4000, Australia",,,,,-27.4678514,153.0279357,8:00,8:00,,0
Day 1,1,"Roma Street, Brisbane","Roma Street, Brisbane","Roma Street, Brisbane",,,,-27.46687,153.0197947,8:04,8:04,8:14,1.2088
Day 1,2,Roma Street Police Station,Roma Street Police Station,Roma Street Police Station,,,,-27.4665111,153.017933,8:15,8:15,8:25,0.1877
Day 1,3,"24 Montague Road, West End","24 Montague Road, West End","24 Montague Road, West End",,,,-27.4709654,153.0158327,8:28,8:28,8:38,1.2881
Day 1,4,Queensland Museum,Queensland Museum,Queensland Museum,,,,-27.474007,153.0183854,8:40,8:40,8:50,0.6097
Day 1,5,South Brisbane,South Brisbane,South Brisbane,,,,-27.47665,153.01667,8:52,8:52,9:02,0.4563
Day 1,6,Regatta Hotel,"543 Coronation Dr, Toowong QLD 4066, Australia",,,,,-27.482501,152.9964643,9:11,9:11,9:21,3.5674
Day 1,7,University of Queensland,University of Queensland,University of Queensland,,,,-27.4975028,153.0136905,9:36,9:36,9:46,4.931
Day 1,8,"Eldorado Cinema, Indooroopilly","Eldorado Cinema, Indooroopilly","Eldorado Cinema, Indooroopilly",,,,-27.503209,152.9748625,10:02,10:02,10:12,5.4364
Day 1,9,Jindalee State High School,Jindalee State High School,Jindalee State High School,,,,-27.5372161,152.9390687,10:26,10:26,10:36,7.8921
Day 1,10,Jindalee Pool,Jindalee Pool,Jindalee Pool,,,,-27.5326573,152.9429095,10:38,10:38,10:48,0.7768
Day 1,11,The Gap,"The Gap QLD 4061, Australia",,,,,-27.443889,152.953056,11:09,11:09,11:19,15.1849
Day 1,12,Enoggera Reservoir,Enoggera Reservoir,Enoggera Reservoir,,,,-27.4258953,152.8807427,11:34,11:34,11:44,9.5159
Day 1,,Break,,,,,,,,12:00,12:00,13:00,0
Day 1,13,Samford,"Samford Valley QLD 4520, Australia",,,,,-27.3711734,152.8676421,13:16,13:16,13:26,23.6165
Day 1,14,Ferny Grove,Ferny Grove,Ferny Grove,,,,-27.403056,152.928056,13:44,13:44,13:54,10.7505
Day 1,15,Gaythorne,Gaythorne,Gaythorne,,,,-27.418,152.983,14:08,14:08,14:18,6.6521
Day 1,16,"Countess Street, Brisbane","Countess Street, Brisbane","Countess Street, Brisbane",,,,-27.4620153,153.0151287,14:31,14:31,14:41,6.9216
Day 1,17,Queensland Supreme Court,Queensland Supreme Court,Queensland Supreme Court,,,,-27.4676341,153.0206631,14:45,14:45,14:55,1.2569
Day 1,18,Brisbane Supreme Court,"415 George St, Brisbane City QLD 4000, Australia",,,,,-27.4676341,153.0206631,14:55,14:55,15:05,0
Day 1,999,,"261 Queen St, Brisbane City QLD 4000, Australia",,,,,-27.4678514,153.0279357,15:09,15:09,,1.0877
Day 2,0,,"261 Queen St, Brisbane City QLD 4000, Australia",,,,,-27.4678514,153.0279357,8:00,8:00,,0
Day 2,1,Cedar Creek Falls,"Cedar Creek Falls, Cedar Creek QLD 4520, Australia",,,,,-27.3118305,152.7768432,8:45,8:45,8:55,36.8816
Day 2,2,Bald Hills,"Bald Hills QLD 4036, Australia",,,,,-27.3175935,153.010807,9:30,9:30,9:40,29.981
Day 2,3,"Percivale Street, Bracken Ridge","Percivale Street, Bracken Ridge","Percivale Street, Bracken Ridge",,,,-27.31346,153.029384,9:46,9:46,9:56,2.4934
Day 2,4,"Gawain Road, Bracken Ridge","Gawain Road, Bracken Ridge","Gawain Road, Bracken Ridge",,,,-27.3154587,153.0335706,9:57,9:57,10:07,0.5914
Day 2,5,"5 Lancelot Street, Bracken Ridge","Gawain Rd, Bracken Ridge QLD 4017, Australia",,,,,-27.3154587,153.0335706,10:07,10:07,10:17,0
Day 2,6,"Geraint Street, Bracken Ridge","Geraint Street, Bracken Ridge","Geraint Street, Bracken Ridge",,,,-27.315959,153.036848,10:18,10:18,10:28,0.3286
Day 2,7,Bracken Ridge Library,Bracken Ridge Library,Bracken Ridge Library,,,,-27.317972,153.037873,10:30,10:30,10:40,0.4646
Day 2,8,"Red Rooster, 162 Barrett Street, Bracken Ridge","162 Barrett St, Bracken Ridge QLD 4017, Australia",,,,,-27.319858,153.04121,10:42,10:42,10:52,0.481
Day 2,9,"McKeering St, Bracken Ridge","McKeering St, Bracken Ridge","McKeering St, Bracken Ridge",,,,-27.3178309,153.0414084,10:53,10:53,11:03,0.2358
Day 2,10,"Playford Street, Bracken Ridge","Playford Street, Bracken Ridge","Playford Street, Bracken Ridge",,,,-27.315819,153.041755,11:05,11:05,11:15,0.2716
Day 2,11,Nashville State High School,"68 Barfoot St, Bracken Ridge QLD 4017, Australia",,,,,-27.3074054,153.044361,11:19,11:19,11:29,1.5912
Day 2,12,Brighton,"Brighton QLD 4017, Australia",,,,,-27.299,153.057,11:35,11:35,11:45,1.82
Day 2,,Break,,,,,,,,11:55,12:00,13:00,0
Day 2,13,Hornibrook Bridge,"8 Inlet Terrace, Clontarf QLD 4019, Australia",,,,,-27.262953,153.0788746,13:00,13:00,13:10,5.2336
Day 2,14,Redcliffe Hospital,Redcliffe Hospital,Redcliffe Hospital,,,,-27.2279451,153.1048666,13:21,13:21,13:31,6.3376
Day 2,15,Redcliffe,Redcliffe,Redcliffe,,,,-27.2258,153.1063,13:33,13:33,13:43,0.4633
Day 2,16,Redcliffe Dolphins Oval,Redcliffe Dolphins Oval,Redcliffe Dolphins Oval,,,,-27.2188292,153.0972298,13:47,13:47,13:57,1.5296
Day 2,17,"Bee Gees Memorial, Redcliffe","Bee Gees Memorial, Redcliffe","Bee Gees Memorial, Redcliffe",,,,-27.2276945,153.1146412,14:03,14:03,14:13,2.3532
Day 2,18,Suttons Beach,Suttons Beach,Suttons Beach,,,,-27.2352799,153.1150852,14:19,14:19,14:29,1.7914
Day 2,999,,"261 Queen St, Brisbane City QLD 4000, Australia",,,,,-27.4679706,153.0280953,15:08,15:08,,33.5242
Day 3,0,,"261 Queen St, Brisbane City QLD 4000, Australia",,,,,-27.4678514,153.0279357,8:00,8:00,,0
Day 3,1,Darra Brickworks,Darra Brickworks,Darra Brickworks,,,,-27.5637362,152.9622471,8:27,8:27,8:37,19.1645
Day 3,2,"Arcadia Cres, Darra","Arcadia Cres, Darra","Arcadia Cres, Darra",,,,-27.5687681,152.9509432,8:41,8:41,8:51,1.4876
Day 3,3,"Harrington St, Darra","Harrington St, Darra","Harrington St, Darra",,,,-27.570239,152.9497101,8:53,8:53,9:03,0.2835
Day 3,4,"Ducie Street Park, Darra","Ducie Street Park, Darra","Ducie Street Park, Darra",,,,-27.5714432,152.9499549,9:03,9:03,9:13,0.129
Day 3,5,"Stratheden St, Darra","Stratheden St, Darra","Stratheden St, Darra",,,,-27.5713023,152.9499657,9:13,9:13,9:23,0.0044
Day 3,6,Darra State School,Darra State School,Darra State School,,,,-27.570748,152.9536939,9:25,9:25,9:35,0.3972
Day 3,7,"Darra Station Rd, Darra","Darra Station Rd, Darra","Darra Station Rd, Darra",,,,-27.5705312,152.9527255,9:36,9:36,9:46,0.0925
Day 3,8,Darra Train Station,Darra Train Station,Darra Train Station,,,,-27.5658434,152.9527495,9:47,9:47,9:57,0.5923
Day 3,9,"Sandakan Street, Darra","Sandakan Street, Darra","Sandakan Street, Darra",,,,-27.5660241,152.9532121,9:57,9:57,10:07,0.0433
Day 3,10,"Swanavelder/Butcher/Hardy Sts, Darra","Swanavelder/Butcher/Hardy Sts, Darra","Swanavelder/Butcher/Hardy Sts, Darra",,,,-27.5660241,152.9532121,10:07,10:07,10:17,0
Day 3,11,Darra Lawn Bowls Club,Darra Lawn Bowls Club,Darra Lawn Bowls Club,,,,-27.5657244,152.9508633,10:19,10:19,10:29,0.4702
Day 3,12,Queensland Cement and Lime Company,"18 Station Ave, Darra QLD 4076, Australia",,,,,-27.56461,152.950759,10:30,10:30,10:40,0.2193
Day 3,13,Kosciuszko Polish Association of Darra,Kosciuszko Polish Association of Darra,Kosciuszko Polish Association of Darra,,,,-27.56471,152.9514517,10:41,10:41,10:51,0.0477
Day 3,14,"South-West Star, 64 Spine St, Sumner Park","South-West Star, 64 Spine St, Sumner Park","South-West Star, 64 Spine St, Sumner Park",,,,-27.5611181,152.9339704,10:55,10:55,11:05,2.084
Day 3,15,Jamboree Heights,Jamboree Heights,Jamboree Heights,,,,-27.557147,152.9338313,11:08,11:08,11:18,1.0416
Day 3,16,"Centenary Highway, Darra","Centenary Highway, Darra","Centenary Highway, Darra",,,,-27.568181,152.9437744,11:22,11:22,11:32,2.3499
