Stop Number,Visit Name,Address,Street,City,State,Zip code,Latitude,Longitude,Arrive at,Start at,Finish by,Distance(km)
0,,"261 Queen St, Brisbane City QLD 4000, Australia",,,,,-27.4678514,153.0279357,0:00,0:00,,0
1,"Adelaide Street, Brisbane","Adelaide Street, Brisbane","Adelaide Street, Brisbane",,,,-27.4666537,153.0274032,0:01,0:01,0:11,0.2905
2,King George Square,"King George Square, Brisbane City QLD 4000, Australia",,,,,-27.4684182,153.0241399,0:13,0:13,0:23,0.6143
3,Royal Brisbane Hospital,Royal Brisbane Hospital,Royal Brisbane Hospital,,,,-27.4469767,153.0284688,0:31,0:31,0:41,2.9279
4,Ballymore,"91 Clyde Rd, Herston QLD 4006, Australia",,,,,-27.4419974,153.0177908,0:48,0:48,0:58,1.7301
5,Wilston,Wilston,Wilston,,,,-27.435,153.021,1:07,1:07,1:17,3.7843
6,Fortitude Valley,Fortitude Valley,Fortitude Valley,,,,-27.4565,153.0345,1:24,1:24,1:34,3.5002
7,Bulimba,Bulimba,Bulimba,,,,-27.45,153.058,1:48,1:48,1:58,7.6407
8,"Narela St, Cannon Hill","Narela St, Cannon Hill","Narela St, Cannon Hill",,,,-27.4686919,153.0820863,2:07,2:07,2:17,4.0429
9,"Manly, QLD","Manly, QLD","Manly, QLD",,,,-27.45,153.183333,2:38,2:38,2:48,11.9014
10,Redlands,"Redland Bay QLD 4165, Australia",,,,,-27.6371881,153.2857165,3:23,3:23,3:33,28.4376
11,Logan City,"Logan, QLD, Australia",,,,,-27.7749944,153.0618566,4:23,4:23,4:33,40.8528
12,Eight Mile Plains,Eight Mile Plains,Eight Mile Plains,,,,-27.5758579,153.0921619,5:11,5:11,5:21,35.5186
13,Moorooka,Moorooka,Moorooka,,,,-27.535,153.026,5:39,5:39,5:49,10.6361
14,Moorooka Magic Mile,Moorooka Magic Mile,Moorooka Magic Mile,,,,-27.5340283,153.0150415,5:54,5:54,6:04,1.1672
15,Yeerongpilly,Yeerongpilly,Yeerongpilly,,,,-27.53,153.012,6:10,6:10,6:20,2.9018
16,"St Vincent de Paul Society Opportunity Shop, Oxley","St Vincent de Paul Society Opportunity Shop, Oxley","St Vincent de Paul Society Opportunity Shop, Oxley",,,,-27.5686008,152.9830732,6:30,6:30,6:40,6.0043
17,Oxley Hotel,Oxley Hotel,Oxley Hotel,,,,-27.5656098,152.9793026,6:42,6:42,6:52,0.7031
